title,dealer,type,location,min_level,requirements,previous,leads_to,objectives,rewards,exp
Big customer,Prapor,Completion,Customs,0,,Chemical - Part 3,,"Find a transport with chemicals,Mark the chemical transport with a beacon,Survive and extract Customs","+8,200 EXP,Prapor Rep +0.1,Jaeger Rep -0.01,200,000 Roubles,PACA Soft Armor",8200
Chemical - Part 2,Skier,PickUp,Customs,10,Must be level 10 to start this quest.,Chemical - Part 1,Chemical - Part 3,"Find any information that could help with the investigation,Hand it over to Skier,Find any information that could help with the investigation,Hand it over to Skier","+4,900 EXP,Skier Rep +0.08,3x F-1 Hand grenade,15,000 Roubles,Unlocks purchase of SAI-02 10-round 12x76 magazine for SOK-12 and compatible weapons at Jaeger LL2",4900
Chemical - Part 1,Skier,PickUp,Customs,10,Must be level 10 to start this quest.,Golden swag,Chemical - Part 2,"Find some information about the Deputy Chief's past life,(Optional) Find a sleeping place of the former Deputy Chief of Security,Hand it over to Skier,Find items that can help the investigation,Hand them over to Skier","+4,800 EXP,Skier Rep +0.08,PACA Soft Armor,15,000 Roubles",4800
Polikhim hobo,Prapor,Elimination,Customs,0,,,Regulated materials,Kill 25 Scavs on Customs,"+7,000 EXP,Prapor Rep +0.1,17,000 Roubles,4x F-1 Hand grenade",7000
Golden swag,Skier,Completion,Customs,8,Must be level 8 to start this quest.,What's on the flash drive?,"Chemical - Part 1,Friend from the West - Part 1","Find a Gilded Zibbo lighter,Leave the lighter in the bunkhouse in the trailer parking (Customs)","+4,600 EXP,Skier Rep +0.1,+17,000 Roubles,AS VAL,3x 20-round 6L25 9x39 VSS magazine,Unlocks purchase of VOMZ Pilad P1X42 ""WEAVER"" reflex sight at LL2",4600
Car repair,Therapist,PickUp,,0,,Pharmacist,,"Find in raid 4 car batteries,Find in raid 8 spark plugs,Hand car batteries over to Therapist,Hand spark plugs over to Therapist","+7,600 EXP,Therapist Rep +0.08,1,500 Dollars,2x Grizzly First Aid Kit",7600
The Punisher - Part 6,Prapor,Elimination,,21,Must be level 21 to start this quest.,The Punisher - Part 5,,"Kill 15 PMC operators. You must use SVD,Bring 10 PMC USEC dogtags,Hand over 10 PMC USEC dogtags,Bring 10 PMC BEAR dogtags,Hand over 10 PMC BEAR dogtags","+20,600 EXP,Prapor Rep +0.12,Skier Rep +0.06,Therapist Rep +0.15,250,000 Roubles,Secure container Epsilon",20600
The Punisher - Part 5,Prapor,PickUp,,20,Must be level 20 to start this quest.,The Punisher - Part 4,The Punisher - Part 6,"Bring 3 AK-74N,Handover AK-74N rifles to Prapor,Bring 3 M4A1 assault rifles,Handover M4A1 rifles to Prapor,Bring 5 PM pistols,Handover pistols to Prapor,Kill 10 PMC operatives. You must be wearing a PACA vest and 6b47 helmet","+19,300 EXP,Prapor Rep +0.12,5,000 Dollars,Pistol case,Documents case,Unlocks purchase of 7.62x39 mm BP at LL3",19300
Sanitary Standards - Part 2,Therapist,Completion,,8,Must be level 8 to start this quest.,Sanitary Standards - Part 1,Painkiller,Hand over the Gas analyzers to Therapist,"+4,500 EXP,Therapist Rep +0.09,18,000 Roubles",4500
Operation Aquarius - Part 1,Therapist,PickUp,Customs,6,Must be level 6 to start this quest.,Shortage,Operation Aquarius - Part 2,"Find hidden water in the dorm,Survive and extract Customs","+3,400 EXP,Therapist Rep +0.09,Skier Rep -0.08,14,000 Roubles,8x 0.6L water bottle",3400
Sanitary Standards - Part 1,Therapist,PickUp,,4,Must be level 4 to start this quest.,Shortage,Sanitary Standards - Part 2,"Find in raid gas analyzer,(Optional) Get access to the pumping station at the Factory,Hand over the gas analyzer to Therapist","+2,200 EXP,Therapist Rep +0.09,2x Car first aid kit,14,000 Roubles,Unlocks purchase of Car first aid kit at LL1",2200
Bad rep evidence,Prapor,PickUp,Customs,6,Must be level 6 to start this quest.,BP depot,Ice cream cones,"Find secure folder 0031 in a bunkhouse on Customs,(Optional) Gain access to the closed room in the Factory offices,(Optional) Find the bunkhouse key,Hand over secure folder 0031 to Prapor,Survive and exit Customs location","+4,200 EXP,Prapor Rep +0.1,16,000 Roubles,PP-9 Klin 9x18PMM SMG,3x Standard 9x18PM 30-round magazine for PP-91,Unlocks purchase of Zenit-Belomo PSO 1M2-1 4x24 scope at LL2",4200
Stirrup,Skier,Elimination,,8,Must be level 8 to start this quest.,The Extortionist,Hippocratic Vow,Eliminate 4 PMC operators. You must be using pistols,Kills with the Colt 1911 Currently do not count towards this quest.,0
The Extortionist,Skier,PickUp,Customs,7,Must be level 7 to start this quest.,Supplier,"Stirrup,What's on the flash drive?","Find the hidden valuable cargo,(Optional) Find the messenger body,(Optional) Find a place where the messenger hid the item,Hand it over to Skier","+3,200 EXP,Skier Rep +0.08,500 Dollars,Vepr AKM / VPO-209 366TKM carbine,3x Izhmash AK magazine (issued ‘55 or later) 30-round for 7.62x39 AK and compatibles",3200
Supplier,Skier,PickUp,,5,Must be level 5 to start this quest.,,The Extortionist,"Hand over 4 body armor to Skier,Hand over 4 shotguns to Skier","+3,300 EXP,Skier Rep +0.12,60,000 Roubles,Unlocks purchase of Saiga-9 9x19 Carbine at LL1",3300
Shortage,Therapist,PickUp,,0,,,"Sanitary Standards - Part 1,Operation Aquarius - Part 1","Find 5 Salewa kits,Hand over 5 Salewa kits to Therapist","+500 EXP,Therapist Rep +0.07,10,000 Roubles,4x Analgin painkillers,4x AI-2 medikit,4x Immobilizing splint",500
Delivery from the past,Prapor,PickUp,"Customs,Factory",5,Must be level 5 to start this quest.,Checking,BP depot,"Find a secure case in the Tarcone Director's Office at the Customs terminal,Leave the case in the Factory swing room, on 2nd floor of shop 3,Survive and exit Factory location","+4,100 EXP,Prapor Rep +0.11,12,000 Roubles,Saiga 12ga ver. 10 12/76 shotgun,3x Sb.5 5-round 12/76 magazine for SOK-12 and compatible weapons,Unlocks purchase of 5.45x39 mm PS at LL1",4100
Shootout picnic,Prapor,Elimination,Woods,3,Must be level 3 to start this quest.,Checking,,Neutralize 15 Scavs on Woods,"+2,000 EXP,Prapor Rep +0.1,6,000 Roubles,Kalashnikov AKS-74U 5.45x39,3x 6L20 30-round 5.45x39 magazine for AK-74 and compatible weapons",2000
BP depot,Prapor,Discover,Customs,5,Must be level 5 to start this quest.,Delivery from the past,Bad rep evidence,"Mark fuel tank №1 with beacon on Customs,Mark fuel tank №2 with beacon on Customs,Mark fuel tank №3 with beacon on Customs,Mark fuel tank №4 with beacon on Customs,Survive and leave the area","+2,900 EXP,Prapor Rep +0.08,Jaeger Rep -0.01,8,000 Roubles,3x RGD-5 hand grenade",2900
Checking,Prapor,PickUp,Customs,2,Must be level 2 to start this quest.,Debut,"Shootout picnic,Delivery from the past","Find the bronze pocket watch,(Optional) Find the key to the tank truck,Hand over the bronze pocket watch to Prapor.","+800 EXP,Prapor Rep +0.05,4,000 Roubles,TT pistol 7.62x25 TT,3x TT-105 7.62x25 TT Magazine",800
Debut,Prapor,Elimination,Customs,0,,,Checking,"Kill 5 Scavs at Customs,Hand over 2 MP-133 pump-action shotguns","+600 EXP,Prapor Rep +0.08,PM 9x18PM pistol,3x 90-93 9x18PM Magazine, for 8 PM rounds,5,000 Roubles,Unlocks purchase of Kalashnikov AKS-74U 5.45x39 at LL1",600
